Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
9577,1637066,2023,2,14,6,15,Terra,2,28.625,77.22184753417969,0.461,0.353
9578,1637067,2023,2,14,6,15,Terra,2,28.625,77.21235656738281,0.479,0.367
9579,1637068,2023,2,14,6,15,Terra,2,28.625,77.20286560058594,0.483,0.37
9580,1637069,2023,2,14,6,15,Terra,2,28.625,77.19336700439453,0.5740000000000001,0.444
9581,1637070,2023,2,14,6,15,Terra,2,28.625,77.18387603759766,0.53,0.405
9582,1637071,2023,2,14,6,15,Terra,2,28.625,77.17437744140625,0.542,0.414
9583,1637072,2023,2,14,6,15,Terra,2,28.625,77.16488647460938,0.587,0.453
9584,1637073,2023,2,14,6,15,Terra,2,28.625,77.1553955078125,0.535,0.409
9585,1637074,2023,2,14,6,15,Terra,2,28.625,77.1458969116211,0.494,0.378
9586,1637075,2023,2,14,6,15,Terra,2,28.625,77.13640594482422,0.51,0.39
9587,1637076,2023,2,14,6,15,Terra,2,28.625,77.12691497802734,0.501,0.383
9726,1638265,2023,2,14,6,15,Terra,2,28.61666679382324,77.22521209716797,0.454,0.348
9727,1638266,2023,2,14,6,15,Terra,2,28.61666679382324,77.2157211303711,0.438,0.335
9728,1638267,2023,2,14,6,15,Terra,2,28.61666679382324,77.20623016357422,0.496,0.38
9729,1638268,2023,2,14,6,15,Terra,2,28.61666679382324,77.19673156738281,0.511,0.391
9730,1638270,2023,2,14,6,15,Terra,2,28.61666679382324,77.17774963378906,0.647,0.5
9731,1638271,2023,2,14,6,15,Terra,2,28.61666679382324,77.16825866699219,0.633,0.489
9732,1638272,2023,2,14,6,15,Terra,2,28.61666679382324,77.15876007080078,0.548,0.419
9733,1638273,2023,2,14,6,15,Terra,2,28.61666679382324,77.1492691040039,0.605,0.467
9734,1638274,2023,2,14,6,15,Terra,2,28.61666679382324,77.13977813720703,0.561,0.433
9735,1638275,2023,2,14,6,15,Terra,2,28.61666679382324,77.13028717041016,0.483,0.369
9736,1638276,2023,2,14,6,15,Terra,2,28.61666679382324,77.12078857421875,0.528,0.404
9875,1639464,2023,2,14,6,15,Terra,2,28.608333587646484,77.22857666015625,0.49,0.375
9876,1639465,2023,2,14,6,15,Terra,2,28.608333587646484,77.21908569335938,0.475,0.363
9877,1639466,2023,2,14,6,15,Terra,2,28.608333587646484,77.2095947265625,0.478,0.366
9878,1639469,2023,2,14,6,15,Terra,2,28.608333587646484,77.18111419677734,0.6910000000000001,0.534
9879,1639470,2023,2,14,6,15,Terra,2,28.608333587646484,77.17162322998047,0.741,0.5720000000000001
9880,1639472,2023,2,14,6,15,Terra,2,28.608333587646484,77.15264129638672,0.577,0.446
9881,1639473,2023,2,14,6,15,Terra,2,28.608333587646484,77.14315032958984,0.592,0.458
9882,1639474,2023,2,14,6,15,Terra,2,28.608333587646484,77.13365936279297,0.619,0.478
9883,1639475,2023,2,14,6,15,Terra,2,28.608333587646484,77.1241683959961,0.491,0.376
10022,1640664,2023,2,14,6,15,Terra,2,28.600000381469727,77.22245025634766,0.545,0.417
10023,1640665,2023,2,14,6,15,Terra,2,28.600000381469727,77.21295928955078,0.491,0.376
10024,1640666,2023,2,14,6,15,Terra,2,28.600000381469727,77.2034683227539,0.501,0.384
10025,1640667,2023,2,14,6,15,Terra,2,28.600000381469727,77.19397735595703,0.514,0.394
10026,1640670,2023,2,14,6,15,Terra,2,28.600000381469727,77.1655044555664,0.68,0.525
10027,1640671,2023,2,14,6,15,Terra,2,28.600000381469727,77.15601348876953,0.6960000000000001,0.538
10028,1640672,2023,2,14,6,15,Terra,2,28.600000381469727,77.14652252197266,0.492,0.377
10029,1640673,2023,2,14,6,15,Terra,2,28.600000381469727,77.13703155517578,0.485,0.371
10030,1640674,2023,2,14,6,15,Terra,2,28.600000381469727,77.1275405883789,0.475,0.364
33509,3068670,2023,2,14,8,30,Aqua,3,28.683332443237305,77.2268295288086,0.5660000000000001,0.437
33510,3068671,2023,2,14,8,30,Aqua,3,28.683332443237305,77.21733093261719,0.553,0.427
33511,3068672,2023,2,14,8,30,Aqua,3,28.683332443237305,77.20783233642578,0.536,0.41
33512,3068673,2023,2,14,8,30,Aqua,3,28.683332443237305,77.19832611083984,0.521,0.399
33513,3068674,2023,2,14,8,30,Aqua,3,28.683332443237305,77.18882751464844,0.532,0.407
33514,3068675,2023,2,14,8,30,Aqua,3,28.683332443237305,77.17932891845703,0.5700000000000001,0.44
33515,3068676,2023,2,14,8,30,Aqua,3,28.683332443237305,77.16983032226562,0.608,0.47
33596,3069870,2023,2,14,8,30,Aqua,3,28.674999237060547,77.2206802368164,0.6,0.463
33597,3069871,2023,2,14,8,30,Aqua,3,28.674999237060547,77.211181640625,0.594,0.459
33598,3069872,2023,2,14,8,30,Aqua,3,28.674999237060547,77.2016830444336,0.5650000000000001,0.437
33599,3069873,2023,2,14,8,30,Aqua,3,28.674999237060547,77.19219207763672,0.54,0.413
33600,3069874,2023,2,14,8,30,Aqua,3,28.674999237060547,77.18269348144531,0.551,0.426
33601,3069875,2023,2,14,8,30,Aqua,3,28.674999237060547,77.1731948852539,0.588,0.454
33602,3069876,2023,2,14,8,30,Aqua,3,28.674999237060547,77.1636962890625,0.62,0.479
33694,3071069,2023,2,14,8,30,Aqua,3,28.66666603088379,77.22403717041016,0.672,0.519
33695,3071070,2023,2,14,8,30,Aqua,3,28.66666603088379,77.21453857421875,0.624,0.482
33696,3071071,2023,2,14,8,30,Aqua,3,28.66666603088379,77.20504760742188,0.619,0.479
33697,3071072,2023,2,14,8,30,Aqua,3,28.66666603088379,77.19554901123047,0.586,0.453
33698,3071073,2023,2,14,8,30,Aqua,3,28.66666603088379,77.18605041503906,0.588,0.455
33699,3071074,2023,2,14,8,30,Aqua,3,28.66666603088379,77.17655181884766,0.597,0.461
33700,3071075,2023,2,14,8,30,Aqua,3,28.66666603088379,77.16705322265625,0.617,0.477
33701,3071076,2023,2,14,8,30,Aqua,3,28.66666603088379,77.15755462646484,0.62,0.479
33788,3072268,2023,2,14,8,30,Aqua,3,28.65833282470703,77.2273941040039,0.744,0.5750000000000001
33789,3072269,2023,2,14,8,30,Aqua,3,28.65833282470703,77.21790313720703,0.672,0.519
33790,3072270,2023,2,14,8,30,Aqua,3,28.65833282470703,77.20840454101562,0.599,0.463
33791,3072271,2023,2,14,8,30,Aqua,3,28.65833282470703,77.19890594482422,0.594,0.459
33792,3072272,2023,2,14,8,30,Aqua,3,28.65833282470703,77.18940734863281,0.592,0.457
33793,3072273,2023,2,14,8,30,Aqua,3,28.65833282470703,77.17991638183594,0.627,0.485
33794,3072274,2023,2,14,8,30,Aqua,3,28.65833282470703,77.17041778564453,0.645,0.498
33795,3072275,2023,2,14,8,30,Aqua,3,28.65833282470703,77.16091918945312,0.64,0.494
33796,3072276,2023,2,14,8,30,Aqua,3,28.65833282470703,77.15142059326172,0.622,0.481
33797,3072277,2023,2,14,8,30,Aqua,3,28.65833282470703,77.14192962646484,0.608,0.47
33889,3073468,2023,2,14,8,30,Aqua,3,28.64999961853028,77.22126007080078,0.811,0.634
33890,3073469,2023,2,14,8,30,Aqua,3,28.64999961853028,77.21176147460938,0.715,0.552
33891,3073470,2023,2,14,8,30,Aqua,3,28.64999961853028,77.2022705078125,0.615,0.475
33892,3073471,2023,2,14,8,30,Aqua,3,28.64999961853028,77.1927719116211,0.592,0.457
33893,3073472,2023,2,14,8,30,Aqua,3,28.64999961853028,77.18327331542969,0.59,0.456
33894,3073473,2023,2,14,8,30,Aqua,3,28.64999961853028,77.17378234863281,0.637,0.492
33895,3073474,2023,2,14,8,30,Aqua,3,28.64999961853028,77.1642837524414,0.655,0.506
33896,3073475,2023,2,14,8,30,Aqua,3,28.64999961853028,77.15478515625,0.644,0.498
33897,3073476,2023,2,14,8,30,Aqua,3,28.64999961853028,77.14529418945312,0.613,0.473
33898,3073477,2023,2,14,8,30,Aqua,3,28.64999961853028,77.13579559326172,0.583,0.45
33899,3073478,2023,2,14,8,30,Aqua,3,28.64999961853028,77.12629699707031,0.58,0.448
33992,3074667,2023,2,14,8,30,Aqua,3,28.64166641235352,77.22461700439453,0.982,0.768
33993,3074668,2023,2,14,8,30,Aqua,3,28.64166641235352,77.21512603759766,0.841,0.657
33994,3074669,2023,2,14,8,30,Aqua,3,28.64166641235352,77.20562744140625,0.743,0.5740000000000001
